,ubigeo,prop_es_jefe,prop_es_mujer,prop_en_pareja,prop_edu_superior,prop_edu_basica,prop_alfabetizacion_funcional,prop_lengua_materna_nativa,prop_tic_uso_internet,prop_tic_celular_propio,prop_salud_enfermedad_cronica,prop_tiene_limitacion,prop_tiene_seguro,media_edad
675,120215,0.5,1.0,0.5,0.1482128362184724,0.8517871637815276,1.0,0.0,1.0,0.8362463796718812,0.5,0.0,1.0,52.333333333333336
676,120301,0.3193549660107008,1.0,0.4991311809048095,0.43769642345738236,0.4700072282142352,0.924629375854115,0.17496434078622597,0.9700304815811294,0.9441400007704285,0.6639489815042746,0.0,0.850647092047321,44.22719594643112
677,120302,0.3764590274888602,1.0,0.6711465949680135,0.3803641439818108,0.5435274328857301,0.9378537617380435,0.2372460949780853,0.9073480799340835,0.9110163748487342,0.49781858949867497,0.0,0.9669026364031006,44.591466125916284
678,120303,0.29536743790513575,1.0,0.5519898950657164,0.1309540573503417,0.7178227916149043,0.8692572829843256,0.28755395545341533,0.9487986592888054,0.8802482481639723,0.6549811278349174,0.05896632858917974,0.9801338441886659,44.234011121526365
679,120304,0.125,1.0,0.75,0.3569697808712207,0.6430302191287792,0.9523601449523132,0.0,0.4451013702318829,0.8905124833155036,0.75,0.0,1.0,53.875
680,120305,0.4998586712551702,1.0,0.4672721382763315,0.40187201902357905,0.569579224157634,0.9128847670437127,0.06483641561388279,0.758979841350677,0.9420476981593194,0.7203314428677453,0.04045600171757681,1.0,46.59285789109615
681,120401,0.43746269808126337,1.0,0.4529130752386726,0.4356386755752676,0.5022324399651558,1.0,0.0,0.9377940847633478,0.8170506598225421,0.7636103740911346,0.03455437504604862,1.0,49.828732293976174
682,120402,0.39634113143808813,1.0,0.6036588685619119,0.15391687380179508,0.7675427545095335,0.955453676780747,0.0,0.6213088107520421,1.0,0.8963411314380881,0.0,1.0,61.20423692089933
683,120403,0.625,1.0,0.5,0.37931458354978714,0.6206854164502129,1.0,0.0,0.8134254011851136,0.7641464755990777,0.5,0.125,1.0,46.25
684,120405,0.0,1.0,0.6666666666666666,0.07436827575096973,0.9256317242490303,0.8845857348162459,0.0,1.0,0.8136188444173036,0.6666666666666666,0.2222222222222222,1.0,48.0
685,120408,0.3333333333333333,1.0,0.3333333333333333,0.09445971796456808,0.8511136869942136,0.9455734049587817,0.0,0.7623195625967796,0.8551145161795514,0.6666666666666666,0.16666666666666666,0.9166666666666666,48.833333333333336
686,120409,0.25,1.0,0.75,0.21663288791006338,0.7833671120899366,1.0,0.0,1.0,1.0,1.0,0.25,1.0,58.0
687,120411,0.4,1.0,0.4,0.0,0.8216176947484573,0.8216176947484573,0.0,1.0,1.0,1.0,0.2,1.0,61.8
688,120412,0.42857142857142855,1.0,0.42857142857142855,0.3431393119749152,0.6568606880250848,1.0,0.0,0.7927693132373035,0.7678636006400958,0.8571428571428571,0.14285714285714285,1.0,57.142857142857146
689,120419,0.7142857142857143,1.0,0.5714285714285714,0.17475567517491986,0.8252443248250801,0.530902730509376,0.0,0.4785466026459161,0.8685325994373091,0.8571428571428571,0.0,1.0,44.42857142857143
690,120422,0.625,1.0,0.5,0.317344925590473,0.5142972706873583,0.8316421962778313,0.16835780372216866,0.4066972638124251,0.9158210981389157,1.0,0.0,0.875,65.5
691,120423,0.09090909090909091,1.0,0.6363636363636364,0.5666216104307519,0.43337838956924807,1.0,0.09845450933114136,0.7399782760486245,0.7828097804826986,0.6363636363636364,0.0,1.0,39.90909090909091
692,120424,0.21428571428571427,1.0,0.5,0.46474717159649825,0.4985799681563252,0.9633271397528235,0.16598207405700627,1.0,0.926654279505647,0.35714285714285715,0.0,1.0,43.57142857142857
693,120426,0.2,1.0,0.6,0.0,0.7474940602737808,0.907194763686035,0.18561047262792987,1.0,0.8977619879938284,0.9,0.1,1.0,57.5
694,120427,0.2857142857142857,1.0,0.7142857142857143,0.0,1.0,1.0,0.0,0.5287359348245403,0.704386338754713,0.42857142857142855,0.0,1.0,43.42857142857143
695,120428,0.375,1.0,0.25,0.30819352267742134,0.6918064773225786,0.914567925026193,0.0,0.5933102377108042,1.0,1.0,0.0,1.0,49.75
696,120430,0.16666666666666666,1.0,0.5,0.0,1.0,1.0,0.1849706956002314,0.0,0.7032702280107618,1.0,0.5,1.0,60.5
697,120431,0.42857142857142855,1.0,0.5714285714285714,0.12302465228568733,0.8769753477143126,1.0,0.0,1.0,1.0,1.0,0.2857142857142857,1.0,43.42857142857143
698,120434,0.4844638830410573,1.0,0.46844887254278716,0.44720223636138057,0.40344562307673065,0.8506478594381112,0.1744339274572022,1.0,0.9142844410619241,0.7309598190970409,0.19740993691762337,1.0,52.98089898673876
699,120501,0.21317084557445573,1.0,0.5806159976020637,0.39857401801346165,0.5083835198259058,0.8073296152988538,0.3590338563573874,0.7739421052210727,0.9160255463053502,0.6603374471582736,0.03290303602712968,1.0,43.53928630890827
700,120502,0.7326607075498985,1.0,0.26733929245010146,0.3314461363676705,0.6232106646781626,0.9405815768731874,0.370899469784885,1.0,0.8960772888303197,1.0,0.0,1.0,60.71501900896735
701,120503,0.4444444444444444,1.0,0.5555555555555556,0.0,0.9353114495287629,0.8706228990575257,0.0,0.783207372947467,0.9353114495287629,0.6666666666666666,0.2222222222222222,1.0,55.111111111111114
702,120504,0.14285714285714285,1.0,0.5714285714285714,0.0,0.6489575339216653,0.5277095675102108,0.3700622669860346,0.6131067485679349,0.6299377330139654,0.8571428571428571,0.0,1.0,50.857142857142854
703,120601,0.22831265113177657,1.0,0.4723536875337649,0.2610764927854689,0.6953572473989047,0.8945696656366283,0.09101281964171634,0.6946400001251676,0.8609740200182672,0.6507455429169124,0.032748954989956315,0.9864541069306438,43.68602580867717
704,120602,0.2,1.0,0.6,0.3899799080847562,0.5272714187926016,0.9172513268773578,0.08274867312264218,1.0,0.5871538429124001,0.8,0.2,1.0,46.2
705,120603,0.2387533669211193,1.0,0.7643417508504085,0.094540335704867,0.905459664295133,0.9671411854504256,0.09016446343907834,0.818748519575644,0.8726008497455585,0.528683501700817,0.05736700340163399,1.0,39.907146466854165
706,120604,0.3230448462832624,1.0,0.5567133351015205,0.25598437777519617,0.709821258061544,0.9114159910924231,0.056298029728039364,0.7139116736597986,0.8037074632142199,0.4392470214053977,0.06969907901995416,0.9802115912883149,39.05875660784564
707,120605,0.5,1.0,0.625,0.19574381602595162,0.6830442056723728,0.8787880216983244,0.5589344398897506,0.6772242129773317,0.713995237080969,0.5,0.0,1.0,44.375
708,120606,0.3821866973516013,1.0,0.540329832755251,0.3087683148298699,0.591720781221576,0.8708714517782333,0.49913148203919677,0.6499634017525528,0.7555659739368367,0.612561298617437,0.02120392514395089,0.9895701061983794,38.6398949998114
709,120607,0.29560508070105507,1.0,0.5394741480938078,0.35769455276316975,0.6226914561089328,0.9803860088721026,0.0776401579684547,0.9365096413669851,1.0,0.6310656302403914,0.0,1.0,40.163923525957
710,120608,0.2039228602345384,1.0,0.7952377031430865,0.14558077382055365,0.7540954082523262,0.8479074038768819,0.724897613238842,0.8580535090554695,0.5351794831689703,0.5114860238310961,0.0,1.0,42.95237703143086
711,120609,0.16666666666666666,1.0,0.8333333333333334,0.39769812778512875,0.5046036349257046,0.9023017627108333,0.687390841203936,0.8566944895611628,0.9023017627108333,0.8333333333333334,0.0,1.0,38.0
712,120701,0.3377180000628349,1.0,0.43077119660346874,0.4060617820706524,0.5556148497282394,0.9236510507837151,0.04238087605312881,0.9557035614778131,0.9403675776948515,0.7809396785107394,0.05569148487806272,0.9406020640641813,50.10892851760199
713,120702,0.2946132224632809,1.0,0.5177715315605893,0.21820603950064366,0.7817939604993563,0.9560597490118727,0.0,0.9239047346538811,1.0,0.5177715315605893,0.0,1.0,46.260176520712946
714,120704,0.2088713569062747,1.0,0.7467718585623518,0.23658229363364766,0.7634177063663523,0.9544862960211284,0.0,0.613883794557903,0.8514881286171863,0.519368848625889,0.08871356906274694,0.9556432154686265,47.72596990063537
715,120706,0.125,1.0,0.625,0.0,0.9372203322969735,0.9372203322969735,0.06277966770302641,1.0,0.8684645009901104,0.5,0.0,1.0,38.75
716,120707,0.75,1.0,0.5,0.2573972743688239,0.7426027256311761,1.0,0.06827719037286634,1.0,0.9117917405291839,0.75,0.0,1.0,53.125
717,120708,0.4751764004214701,1.0,0.49015037747338275,0.06639081847466173,0.8246550524082745,0.8734350447587254,0.3732596645751091,0.8219826138579466,0.9395259810946502,0.737588200210735,0.03467322210514721,0.9306535557897055,51.06222665706513
718,120709,0.1,1.0,0.6,0.11838372325624383,0.7172686660521234,0.6330601468959434,0.2618237809132787,0.5994386116561444,0.7155978049743336,0.5,0.1,1.0,43.7
719,120801,0.3106523124410945,1.0,0.627073430508486,0.27923992399086056,0.6834716364215249,0.9627115604123854,0.07556845617144702,1.0,0.9219445122052503,0.6880566907494795,0.06227425705041958,0.9379054861523313,55.219957850558664
720,120802,0.375,1.0,0.5,0.10366553096315567,0.8963344690368443,1.0,0.14494973091488575,0.5489830524548277,1.0,0.375,0.0,1.0,43.5
721,120805,0.3,1.0,0.4,0.5485354163342061,0.38860313111523875,0.9371385474494449,0.20544706036257,1.0,1.0,0.8,0.0,0.9,38.3
722,120806,0.3,1.0,0.5,0.14042886257549145,0.7131435122520895,0.853572374827581,0.0,1.0,0.853572374827581,1.0,0.1,1.0,54.4
723,120808,0.2857142857142857,1.0,0.42857142857142855,0.32452583159607873,0.6041620526576842,0.9286878842537629,0.07131211574623712,0.8393422113320992,1.0,0.6165150579761061,0.0,0.9022293436903918,43.14745714963349
724,120810,0.2857142857142857,1.0,0.7142857142857143,0.3817361353579216,0.6182638646420784,1.0,0.0,0.36486051761162747,1.0,0.5714285714285714,0.0,1.0,46.142857142857146
725,120901,0.35423121531964047,1.0,0.3574144467231994,0.4379717280437032,0.4616301346140554,0.8255067610088525,0.14437728774840325,0.8902197891895459,0.9290008777619067,0.7881458101135936,0.034738582226586136,1.0,49.00884255369205
726,120902,0.5001480418945164,1.0,0.49955587431645054,0.13587123408096174,0.8641287659190382,0.9446917566077614,0.0,0.4865536567755341,0.8045038123518895,0.8571640059849309,0.07149201795479278,0.9285079820452072,50.07415677205609
727,120903,0.375,1.0,0.625,0.0,0.8815621494110621,0.6543914402432828,0.3456085597567172,0.0,0.7728292908322207,1.0,0.0,1.0,58.625
728,120904,0.5,1.0,0.5,0.5414589159223832,0.4043128895434235,0.9457718054658066,0.0,0.7866713271160481,0.8581904503808435,0.9,0.1,0.9,56.0
729,120905,0.5,1.0,0.5,0.13127045028213927,0.7652783521834041,0.8965488024655434,0.2792491989903612,0.8026413396098535,0.8965488024655434,0.6666666666666666,0.0,1.0,57.666666666666664
730,120908,0.2857142857142857,1.0,0.7142857142857143,0.0,0.871324239992147,0.7184664909636017,0.24140350404294506,0.30023596304599187,0.688145497053009,0.7142857142857143,0.0,1.0,57.42857142857143
731,130101,0.2623442073598299,1.0,0.38599915201108587,0.6103647108722479,0.3704491365850406,0.9730558512921184,0.0038914469057650444,0.8907964444094126,0.9252640223503433,0.6731291487207202,0.06342010826688357,0.918867522313381,49.10403258943575
732,130102,0.44423913538363813,1.0,0.40761900162965387,0.3391489520178369,0.6005707916363285,0.948784949918111,0.0,0.9265605110758212,0.9136202273369175,0.6127567878100654,0.059684587784985074,0.9414583525498151,43.65256338678568
733,130103,0.275680307658967,1.0,0.3745140659578807,0.35075173387260045,0.6322636229522005,0.964148983546315,0.0,0.9568488487021021,0.8705626677834633,0.664241942894294,0.0847861890214675,1.0,46.31343476979756
734,130104,0.28663793688693606,1.0,0.46617893193513726,0.40063224570270617,0.5489637277166325,0.9381072358693866,0.010945296705524549,0.9339941804286157,0.9255882603961547,0.7438246172969246,0.06225210925334467,0.9524721686206431,48.77220193862692
