ubigeo,viv_tipo,viv_paredes,viv_pisos,viv_techos,viv_hab_total,viv_hab_dormir,tic_celular,tic_internet,agua_todos_dias,serv_electricidad,nbi_vivienda,nbi_hacinamiento,nbi_sshh,nbi_educacion,nbi_dependencia,es_jefe,es_mujer,edad,en_pareja,trabajo_ingresos,edu_superior,edu_basica,tic_uso_internet,tic_celular_propio,salud_enfermedad_cronica,lim_discapacidad_motriz,lim_discapacidad_visual,lim_discapacidad_habla,lim_discapacidad_auditiva,lim_discapacidad_comprension,lim_discapacidad_relacion,seg_essalud,seg_privado,seg_sis
150114,1.0,1.0,0.9883089294756477,0.993555481469999,5.231575379689612,3.4569483400636996,1.0,0.9812654276778219,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3074121055773329,0.538060576756402,48.44892111771962,0.48149272321218595,0.0,0.7275405004404609,0.23977642111575093,0.9173619916077588,0.8714690085607273,0.5049843650720828,0.021341144747916017,0.005883451272924861,0.0,0.0,0.005495073691687074,0.0,0.5556591189610537,0.19128477521676682,0.1816180801152344
150115,0.9414477399477535,0.9377862104693055,0.9802251229922433,0.9282506623675402,2.895339875034029,2.017997007622059,0.9779851596479885,0.9105965677627539,1.0,0.9936671849386431,0.01034648877284177,0.021628724665858776,0.0,0.0,0.0,0.30751433410333845,0.52853978619053,38.79867128445507,0.3130278944670195,0.0,0.24098722204640527,0.7137560638636787,0.7155246501843041,0.7969948942145236,0.520417883791795,0.026381188616921684,0.011129260456295406,0.024477938818234173,0.006684959294393686,0.019469145645837405,0.019469145645837405,0.2825816947375684,0.015583179892521497,0.5271815680315156
150116,0.9117462069713144,0.9717474667532363,1.0,0.9717474667532363,3.742580860033178,2.205720207623286,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.35946767941861035,0.588216321590816,42.47409640051976,0.48235591500364505,0.0,0.6189768174000595,0.38102318259994045,0.9118009153771638,0.9282615049575239,0.5969842086276685,0.0220634482571714,0.0,0.0220634482571714,0.0,0.0,0.0,0.6335478291858757,0.10202939840858015,0.2575091204948106
150117,1.0,0.9363737078984733,0.9697594983795187,0.802009165388828,3.7433156505377094,2.5293895693770563,1.0,0.9813247212112699,1.0,1.0,0.0,0.01782109414443955,0.0,0.0,0.0,0.34380207631378246,0.553532705926598,40.6935174205377,0.3900199814791939,0.0,0.3969990092697492,0.5815272121454098,0.860542848024399,0.8626264612343822,0.4354415808153375,0.01938737071834625,0.007919940421272219,0.005925336553235786,0.010452725575172654,0.015224793549851415,0.0063627337567419414,0.39030467855445883,0.016203682646996023,0.45888625817089007
150118,1.0,0.850297226528685,0.9497123668469929,0.5010326159966917,3.5592949485218996,2.4006322589940323,1.0,0.9806421045680394,0.9790406824051837,1.0,0.010297660637855727,0.012872075797319658,0.010278705759399003,0.011634649953568827,0.0,0.2957181954772626,0.5285260554316882,37.72622668915585,0.3534537521164509,0.02577963938171421,0.23432189183665436,0.7170721210261538,0.6549169302173723,0.7928342552875421,0.3765996380521718,0.0,0.008081598491509865,0.0025696764398497507,0.0038782166511896086,0.0038782166511896086,0.004093869818849164,0.3530790955739689,0.0019868151456941363,0.5878544370121364
150119,0.8578801897154384,0.9055656479795823,0.9697597702965423,0.6907126229111153,3.279780698958697,2.1799185551216,0.9937430373190088,0.9475932492824397,0.8519513303163706,1.0,0.0,0.04279869224908215,0.010136045372358089,0.0,0.0,0.31790208327442415,0.47854759427974175,35.086511057694686,0.38211685298952675,0.01777512316176647,0.4463710818935811,0.5297591841759399,0.6730641971642364,0.8260727994411581,0.4347443535336757,0.00625696268099121,0.0,0.0,0.00976927064717683,0.0,0.003512307966185619,0.5130299019167989,0.0,0.399944937299549
150120,0.9588641114634343,0.9897160278658585,1.0,0.8691305260606108,4.202436355334773,2.584138323866519,0.9913669886405851,0.951765799277901,0.9588641114634343,1.0,0.0,0.0,0.0,0.0,0.0,0.34509534373452977,0.5426570909716407,41.584251256674094,0.3554955774695164,0.0,0.4872978504219869,0.5127021495780131,0.8604186829168392,0.8816152155203557,0.6030258846768296,0.008633011359414805,0.010283972134141424,0.0,0.024117100361049554,0.01692337340174133,0.008633011359414805,0.46064483057781247,0.02487108612697958,0.27321496986971294
150121,0.8929617492948111,0.9251086330310933,0.9742629792539277,0.9251086330310933,5.076033368418221,3.375117742480815,1.0,0.9930595785776258,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3399990949308014,0.5523800013672059,49.58784098295237,0.3791829005581406,0.0,0.6625810616078773,0.3304785169697485,0.8528237281966244,0.8594721349031106,0.57473808871477,0.037425669776718254,0.013865207625586427,0.0074309524390683375,0.006940421422374176,0.034670836673547034,0.027730415251172855,0.6574700738899182,0.1258461067594758,0.20671765724368404
150122,0.9863999267170533,1.0,0.97959989007558,0.9733430600097697,3.8541540260227083,2.243165808556048,0.9890623288788245,0.9882743494950446,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5373718218565908,0.5620484758651382,51.90393694279387,0.3620774638722878,0.0,0.7539150402914973,0.24608495970850278,0.9659216813003196,0.9526351483585941,0.5981323863068175,0.021459707717474023,0.007859634434527392,0.0,0.0,0.007859634434527392,0.014600224652619787,0.5516508075899795,0.27510520577377084,0.051591007324840926
150123,0.93614669865681,0.5499316486057542,0.8337591536553783,0.38660059625139287,3.4969958497966895,2.62566689087151,1.0,0.975738681729569,1.0,1.0,0.10134388650692412,0.017723890680579907,0.0,0.0,0.0,0.2878213013680351,0.5506868747481692,29.715217460593113,0.3491567465925941,0.0,0.1699410320282185,0.798381537691014,0.47989152486544684,0.7579741742280627,0.32162873773240935,0.012890580476686675,0.011815927120386606,0.0,0.005907963560193303,0.0,0.0,0.28035193790268575,0.0,0.6700092149779386
