anio,ubigeo,departamento,provincia,distrito,amenaza_grave,coaccion_grave,maltrato_sin_lesion,violencia_economica_o_patrimonial,violencia_fisica,violencia_fisica_y_psicologica,violencia_psicologica,violencia_sexual,total,prop_viv_tipo,prop_tic_celular,prop_tic_internet,prop_agua_todos_dias,prop_serv_electricidad,prop_nbi_vivienda,prop_nbi_hacinamiento,prop_nbi_sshh,prop_nbi_educacion,prop_nbi_dependencia,prop_es_jefe,prop_es_mujer,prop_en_pareja,prop_edu_superior,prop_edu_basica,prop_alfabetizacion_funcional,prop_lengua_materna_nativa,prop_tic_uso_internet,prop_tic_celular_propio,prop_salud_enfermedad_cronica,prop_tiene_limitacion,prop_tiene_seguro,media_edad,población,TVM,indice_vulnerabilidad
2025,150111,LIMA,LIMA,EL AGUSTINO,0,1,0,105,735,0,1320,7,2168,0.717767758581175,0.991905627191399,0.977731844434962,1.0,1.0,0.0222681555650381,0.0541565711181322,0.0,0.0,0.0,0.2860675983416869,1.0,0.3993298455438312,0.3123433819936151,0.6569260166949967,0.9804450663426022,0.1281249155155794,0.6088462488259772,0.9602000470295272,0.5122580747461798,0.0479231716029991,0.9144693466259708,46.23735579013525,240130.0,9.028442926748012,0.01233661028102604
2025,150112,LIMA,LIMA,INDEPENDENCIA,2,0,0,265,1098,0,1992,16,3373,0.8300111221162764,0.961671852658924,0.9287727832106576,1.0,1.0,0.0805578053581853,0.0509095158799598,0.0,0.0,0.0,0.3098726235357502,1.0,0.5003583157394229,0.3681756801855087,0.6318243198144913,0.9935109891547494,0.0383296129927758,0.7333096480224002,0.9448227432958604,0.6919414183276967,0.1386843663335752,0.9643941911247128,46.04458118394503,235535.0,14.320589296707496,0.025336817253435936
2025,150113,LIMA,LIMA,JESUS MARIA,3,0,0,59,139,0,495,10,706,0.5257944772201756,0.9352021579782818,0.9313818815265864,1.0,1.0,0.0,0.0493153351332567,0.0,0.0,0.0,0.4153830751718841,1.0,0.2937346758488245,0.7782580728212787,0.2121194691254286,0.9688203241770226,0.0500842880481259,0.7319360180231737,0.9849482509270532,0.7148701294995722,0.0258254305545771,0.924636232381234,52.02646730633338,86967.0,8.118021778375706,0.014741681700833786
2025,150114,LIMA,LIMA,LA MOLINA,1,1,0,36,284,0,686,15,1023,0.6545377388029316,1.0,0.960020917949552,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1892496298441827,1.0,0.502487232815806,0.7801313120940843,0.1995661836473866,0.9900305695686324,0.0117005843416395,0.9432396108452396,0.8533776069953947,0.5071083551564424,0.0478970401085541,0.909745777259974,53.01458892355385,170998.0,5.982526111416508,0.004997385256305997
2025,150115,LIMA,LIMA,LA VICTORIA,4,0,0,69,558,0,914,5,1550,0.6723322471331541,0.9424771678679036,0.8543040558722265,1.0,0.979406439443474,0.0151059987874824,0.0140668074734952,0.0,0.0,0.0,0.3345815360200169,1.0,0.380811708249043,0.3144124859433689,0.6560199839054577,0.9858240136248456,0.1274562023142144,0.7120422715358086,0.9084263131865612,0.5629871009162782,0.0555685166139175,0.7964619678764059,45.02366561255883,190612.0,8.131702096405263,0.024432788868159635
2025,150116,LIMA,LIMA,LINCE,0,0,0,21,148,0,282,4,455,0.6002212013774753,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2308985694010829,1.0,0.4704915615372212,0.6932029817717303,0.3067970182282697,1.0,0.0,0.9472725263967834,0.9670937665590676,0.6610293903858041,0.0430415214181993,0.938586735406015,48.01671208760408,64730.0,7.029198207940676,0.0
2025,150117,LIMA,LIMA,LOS OLIVOS,4,1,0,359,1481,0,3127,41,5013,0.7465483477351516,1.0,0.951608385059758,1.0,1.0,0.0,0.0086392216977065,0.0,0.0,0.0,0.3508535540651749,1.0,0.4131539852485379,0.5005161130114323,0.4928535235496888,0.9933696365611212,0.0117341230875832,0.877749838631069,0.9522357267296,0.4922222996671935,0.0440134529258929,0.8614381871145678,46.22716035271724,368511.0,13.603393114452485,0.007128854579743565
2025,150118,LIMA,LIMA,LURIGANCHO - CHOSICA,1,0,0,27,625,0,1196,8,1857,0.7515348259506072,1.0,0.978179794448429,0.9714855807219688,1.0,0.0087056366460949,0.0087056366460949,0.0086896122022607,0.013114568905476,0.0,0.3545831819659191,1.0,0.4421482785314649,0.2991210765209588,0.6621343115253426,0.9687416952611042,0.1227150927045197,0.649597866489589,0.9056405207783972,0.5139167892634721,0.0401642881272716,0.9237136882739726,48.57729522883729,327438.0,5.671302658823961,0.011193759903691097
2025,150119,LIMA,LIMA,LURIN,0,0,0,31,370,0,419,2,822,0.6973536906386929,0.9803179563450988,0.9274150902673844,0.8755554363482735,1.0,0.0,0.0336571341466617,0.0318841741078126,0.0,0.0,0.3839208573442547,1.0,0.5464685706295225,0.5501635986342305,0.4122571029958323,0.9869854139173676,0.07392983057993,0.7471478096073614,0.9478368664975956,0.5391676345599106,0.0178962713945372,0.9411597171725308,43.345140730232536,120575.0,6.8173336097864405,0.032821347704852046
2025,150120,LIMA,LIMA,MAGDALENA DEL MAR,0,0,0,43,163,0,341,1,548,0.667700861717608,0.974983692141451,0.9301146746865352,0.9701996207110446,1.0,0.0,0.0,0.0,0.0,0.0,0.4374942256063807,1.0,0.3892950084393436,0.5604329217655664,0.4395670782344337,1.0,0.0,0.9085500738726512,0.9695650104181718,0.5862169968387353,0.0406806499898206,0.8832252530180148,49.57066094068452,71558.0,7.6581234802537805,0.012460713075302526
